Manufacturer,Tool Type,Series,Family Code,Part Number,Thread Size,Diameter,Shank Dia,LOC,OAL,Flutes,Coating,Material Focus,List Price,Source File,Imported At,End Geometry,Flute Count,Shank,Corner,Allowed Materials,Source Rule,Flute Length,Overall Length,Material
M.A. Ford,End Mill,116C,End Mill,11606250-C3,,0.0625,0.125,0.1875,1.5,3,ALtima,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,116C,End Mill,11612500-C3,,0.125,0.125,0.5,1.5,3,ALtima,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,116C,End Mill,11618750-C3,,0.1875,0.1875,0.625,2.0,3,ALtima,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,116C,End Mill,11625000-C3,,0.25,0.25,0.75,2.5,3,ALtima,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,116C,End Mill,11631250-C3,,0.3125,0.3125,0.8125,2.5,3,ALtima,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,116C,End Mill,11637500-C3,,0.375,0.375,1.0,2.5,3,ALtima,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,116C,End Mill,11650000-C3,,0.5,0.5,1.0,3.0,3,ALtima,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,116C,End Mill,11662500-C3,,0.625,0.625,1.25,3.5,3,ALtima,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Square Stub Standard,End Mill,13901,,0.001,0.125,0.0015,1.5,2,Uncoated,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Square Stub Standard,End Mill,13902,,0.002,0.125,0.003,1.5,2,Uncoated,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Square Stub Standard,End Mill,13903,,0.003,0.125,0.0045,1.5,2,Uncoated,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Square Stub Standard,End Mill,13904,,0.004,0.125,0.006,1.5,2,Uncoated,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Square Stub Standard,End Mill,13905,,0.005,0.125,0.0075,1.5,2,Uncoated,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Square Stub Standard,End Mill,13905-C3,,0.005,0.125,0.0075,1.5,2,ALtima,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,140,,14001000A,,0.01,0.125,0.03,1.5,3,TiB2,Aluminum,52.1,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,140,,14001500A,,0.015,0.125,0.045,1.5,3,TiB2,Aluminum,52.75,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,140,,14002000A,,0.02,0.125,0.06,1.5,3,TiB2,Aluminum,53.2,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,140,,14002500A,,0.025,0.125,0.075,1.5,3,TiB2,Aluminum,53.9,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,140,,14003000A,,0.03,0.125,0.09,1.5,3,TiB2,Aluminum,54.5,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,140,,14004000A,,0.04,0.125,0.12,1.5,3,TiB2,Aluminum,55.8,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Square Stub Standard,End Mill,14005,,0.005,0.125,0.0075,1.5,4,Uncoated,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,Miniature Square Stub Standard,End Mill,14005-C3,,0.005,0.125,0.0075,1.5,4,ALtima,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,140,,14005000A,,0.05,0.125,0.15,1.5,3,TiB2,Aluminum,56.9,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,140,,14006250A,,0.062,0.125,0.187,1.5,3,TiB2,Aluminum,58.1,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,
M.A. Ford,End Mill,140,,14025000A,,0.25,,0.75,2.5,4,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,End Mill,178N,,17825022NA,,0.25,,0.75,4.0,5,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,End Mill,178N,,17825024NA,,0.25,,0.75,4.0,5,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,End Mill,178N,,17831222NA,,0.3125,,1.0,4.0,5,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,End Mill,178N,,17831224NA,,0.3125,,1.0,4.0,5,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,End Mill,178N,,17837522NA,,0.375,,1.0,4.0,5,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
M.A. Ford,End Mill,178N,,17837524NA,,0.375,,1.0,4.0,5,ALtima,"Steel, Stainless",,RMFI_HARDRESET_STARTER_LIBRARY_v1.xlsx,2026-03-28 11:56:36,,,,,,,,,
