Manufacturer,Tool Type,Series,Family Code,Part Number,Thread Size,Diameter,Shank Dia,LOC,OAL,Flutes,Coating,Material Focus,List Price,Source File,Imported At,End Geometry,Flute Count,Shank,Corner,Allowed Materials,Source Rule,Flute Length,Overall Length,Material,Catalog Diameter Label,Catalog Page,Catalog Style Description,Diameter Decimal,Shank Decimal,LOC Decimal,OAL Decimal,Manufacturer Key,Tool Type Key,Series Key,Part Number Key,Material Focus Key
M.A. Ford,End Mill,116C,End Mill,11606250-C3,,0.0625,0.125,0.1875,1.5,3,ALtima,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.0625,0.125,0.1875,1.5,M.A. FORD,END MILL,116C,11606250-C3,
M.A. Ford,End Mill,116C,End Mill,11612500-C3,,0.125,0.125,0.5,1.5,3,ALtima,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.125,0.125,0.5,1.5,M.A. FORD,END MILL,116C,11612500-C3,
M.A. Ford,End Mill,116C,End Mill,11618750-C3,,0.1875,0.1875,0.625,2.0,3,ALtima,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.1875,0.1875,0.625,2.0,M.A. FORD,END MILL,116C,11618750-C3,
M.A. Ford,End Mill,116C,End Mill,11625000-C3,,0.25,0.25,0.75,2.5,3,ALtima,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.25,0.25,0.75,2.5,M.A. FORD,END MILL,116C,11625000-C3,
M.A. Ford,End Mill,116C,End Mill,11631250-C3,,0.3125,0.3125,0.8125,2.5,3,ALtima,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.3125,0.3125,0.8125,2.5,M.A. FORD,END MILL,116C,11631250-C3,
M.A. Ford,End Mill,116C,End Mill,11637500-C3,,0.375,0.375,1.0,2.5,3,ALtima,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.375,0.375,1.0,2.5,M.A. FORD,END MILL,116C,11637500-C3,
M.A. Ford,End Mill,116C,End Mill,11650000-C3,,0.5,0.5,1.0,3.0,3,ALtima,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.5,0.5,1.0,3.0,M.A. FORD,END MILL,116C,11650000-C3,
M.A. Ford,End Mill,116C,End Mill,11662500-C3,,0.625,0.625,1.25,3.5,3,ALtima,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.625,0.625,1.25,3.5,M.A. FORD,END MILL,116C,11662500-C3,
M.A. Ford,End Mill,Miniature Square Stub Standard,End Mill,13901,,0.001,0.125,0.0015,1.5,2,Uncoated,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.001,0.125,0.0015,1.5,M.A. FORD,END MILL,MINIATURESQUARESTUBSTANDARD,13901,
M.A. Ford,End Mill,Miniature Square Stub Standard,End Mill,13902,,0.002,0.125,0.003,1.5,2,Uncoated,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.002,0.125,0.003,1.5,M.A. FORD,END MILL,MINIATURESQUARESTUBSTANDARD,13902,
M.A. Ford,End Mill,Miniature Square Stub Standard,End Mill,13903,,0.003,0.125,0.0045,1.5,2,Uncoated,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.003,0.125,0.0045,1.5,M.A. FORD,END MILL,MINIATURESQUARESTUBSTANDARD,13903,
M.A. Ford,End Mill,Miniature Square Stub Standard,End Mill,13904,,0.004,0.125,0.006,1.5,2,Uncoated,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.004,0.125,0.006,1.5,M.A. FORD,END MILL,MINIATURESQUARESTUBSTANDARD,13904,
M.A. Ford,End Mill,Miniature Square Stub Standard,End Mill,13905,,0.005,0.125,0.0075,1.5,2,Uncoated,,,RMFI_Tool_Database_Master.xlsx,2026-03-29T08:01:24,,,,,,,,,,,,,0.005,0.125,0.0075,1.5,M.A. FORD,END MILL,MINIATURESQUARESTUBSTANDARD,13905,
